kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60;
4880;0025-0415;;IND;AIR Lucknow;HI;SAs;lu;1;;
4880;0415-0430;Mo-Sa;IND;AIR Lucknow;HI;SAs;lu;1;;
4880;1215-1741;;IND;AIR Lucknow;HI;SAs;lu;1;;
4885;0000-2400;;B;Rádio Clube do Pará;P;B;be;1;;
4885;0800-0400;;B;Radiodif.Acreana;P;B;rb;3;;
4885;0600-2300;;B;Rádio Maria;P;B;an;3;;
4890;0600-1530;;PNG;NBC Port Moresby;E;PNG;pm;1;;
4890;1900-2200;;PNG;NBC Port Moresby;E;PNG;pm;1;;
4893;1840-1900;We,Su;RUS;Russian Spy Numbers;E;;;1;0101;3101
4895;1630-1730;Mo;AFS;SA Radio League;E;SAf;;0;;
4895;0000-2400;;B;Rádio Novo Tempo;P;B;cg;1;;
4895;0125-0130;;IND;AIR Delhi;SNK;SAs;ku;1;;
4895;0130-0135;;IND;AIR Delhi;HI;SAs;ku;1;;
4895;1230-1235;;IND;AIR Delhi;E;SAs;ku;1;;
4895;1235-1240;;IND;AIR Delhi;HI;SAs;ku;1;;
4895;1355-1405;;IND;AIR Delhi;NE;SAs;ku;1;;
4895;1405-1415;;IND;AIR Delhi;BE;SAs;ku;1;;
4895;1450-1500;;IND;AIR Delhi;E;SAs;ku;1;;
4895;1515-1530;;IND;AIR Delhi;HI;SAs;ku;1;;
4895;1530-1545;;IND;AIR Delhi;E;SAs;ku;1;;
4895;1546-1600;;IND;AIR Delhi;E;SAs;ku;1;;
4895;1730-1735;Sa;IND;AIR Delhi;E;SAs;ku;1;;
4895;1735-1740;Sa;IND;AIR Delhi;HI;SAs;ku;1;;
4895;0055-0400;;IND;AIR Kurseong;NE;SAs;ku;1;;
4895;0400-0430;SaSu;IND;AIR Kurseong;NE;SAs;ku;1;;
4895;1130-1700;;IND;AIR Kurseong;NE;SAs;ku;1;;
4895;1700-1741;SaSu;IND;AIR Kurseong;NE;SAs;ku;1;;
4895;0655-1500;;MNG;Mongolian Radio 2;MO;As;m;2;;
4895;2300-0500;;MNG;Mongolian Radio 2;MO;As;m;2;;
4905;0800-0215;;B;R.Anhanguera Araguaína;P;B;ag;3;;
4905;0000-2400;;B;Rádio Relógio, Rio d.J.;P;B;rj;1;0102;
4905;2300-2400;;CHN;China National Radio 11;TB;CHN;t;1;;
4905;0000-0700;;CHN;PBS Xizang;TB;CHN;t;1;;
4905;0700-0800;We-Mo;CHN;PBS Xizang;E;CHN;t;1;;
4905;0800-0950;We-Mo;CHN;PBS Xizang;TB;CHN;t;1;;
4905;0950-1600;;CHN;PBS Xizang;TB;CHN;t;1;;
4905;1600-1700;;CHN;PBS Xizang;E;CHN;t;1;;
4905;1700-1805;;CHN;PBS Xizang;TB;CHN;t;1;;
4905;2050-2300;;CHN;PBS Xizang;TB;CHN;t;1;;
4910;2130-0830;;AUS;Australian Broadc.Co.;E;AUS;t;1;;
4910;0030-0035;;IND;AIR Delhi;HI;SAs;ja;1;;
4910;0125-0130;;IND;AIR Delhi;SNK;SAs;ja;1;;
4910;0230-0245;;IND;AIR Delhi;HI;SAs;ja;1;;
4910;0245-0300;;IND;AIR Delhi;E;SAs;ja;1;;
4910;1235-1240;;IND;AIR Delhi;HI;SAs;ja;1;;
4910;1240-1245;;IND;AIR Delhi;SNK;SAs;ja;1;;
4910;1515-1530;;IND;AIR Delhi;HI;SAs;ja;1;;
4910;1530-1545;;IND;AIR Delhi;E;SAs;ja;1;;
4910;1730-1735;;IND;AIR Delhi;E;SAs;ja;1;;
4910;1735-1740;;IND;AIR Delhi;HI;SAs;ja;1;;
4910;0025-0430;;IND;AIR Jaipur;HI;SAs;ja;1;;
4910;0430-0530;Su;IND;AIR Jaipur;HI;SAs;ja;1;;
4910;1130-1741;;IND;AIR Jaipur;HI;SAs;ja;1;;
4910;1320-1330;;IND;AIR Jaipur;MW;SAs;ja;1;;
4910;0200-1900;;MDG;Radio Madagasikara;MSY;MDG;a;1;;
4910;1900-2100;irr;MDG;Radio Madagasikara;MSY;MDG;a;1;;
4915;0000-2400;;B;R. Difusora de Macapá;P;B;mc;1;;
4915;0830-0300;;B;Rádio Daqui;P;SAm;Go;3;;
4919;2200-1300;irr;EQA;Radio Quito;S;EQA;;1;;
4920;2300-2400;;CHN;China National Radio 11;TB;CHN;t;1;;
4920;0000-0700;;CHN;PBS Xizang;TB;CHN;t;1;;
4920;0700-0800;We-Mo;CHN;PBS Xizang;E;CHN;t;1;;
4920;0800-0950;We-Mo;CHN;PBS Xizang;TB;CHN;t;1;;
4920;0950-1600;;CHN;PBS Xizang;TB;CHN;t;1;;
4920;1600-1700;;CHN;PBS Xizang;E;CHN;t;1;;
4920;1700-1805;;CHN;PBS Xizang;TB;CHN;t;1;;
4920;2050-2300;;CHN;PBS Xizang;TB;CHN;t;1;;
4920;0015-0245;;IND;AIR Chennai;TAM;SAs;c;1;;
4920;1200-1739;;IND;AIR Chennai;TAM;SAs;c;1;;
4920;0035-0040;;IND;AIR Delhi;E;SAs;c;1;;
4920;1230-1235;;IND;AIR Delhi;E;SAs;c;1;;
4920;1515-1530;;IND;AIR Delhi;HI;SAs;c;1;;
4920;1530-1545;;IND;AIR Delhi;E;SAs;c;1;;
4920;0800-1500;;INS;RRI Biak (Papua);IN;INS;bi;1;;
4920;2100-2400;;INS;RRI Biak (Papua);IN;INS;bi;1;;
4925.2;0800-0105;;B;R.Educacao Rural, Tefé;P;B;tf;3;;
4925;0400-0440;;KOR;MND Radio;K;KRE;c;6;2810;0711
4925;0500-0540;;KOR;MND Radio;K;KRE;c;1;0112;
4925;1000-1040;;KOR;MND Radio;K;KRE;c;1;0112;
4925;1200-1240;;KOR;MND Radio;K;KRE;c;6;2810;0711
4930;0200-0300;;USA;Voice of America;E;SAf;/BOT;6;0711;0711
4930;0300-0600;;USA;Voice of America;E;SAf;/BOT;0;;
4930;1400-1700;;USA;Voice of America;E;SAf;/BOT;0;;
4930;1700-1830;;USA;Voice of America;ZWE;SAf;/BOT;0;;
4930;1830-2100;;USA;Voice of America;E;SAf;/BOT;0;;
4935.2;0000-2400;;B;Rádio Capixaba, Vitoria;P;B;vi;1;;
4938;1840-1900;We,Su;RUS;Russian Spy Numbers;E;;;1;0112;3112
4940;0945-1600;;CHN;Voice of Strait;M;FE;gu;1;;
4940;1500-1530;Sa;CHN;Voice of Strait;E;FE;gu;1;;
4940;2225-0200;;CHN;Voice of Strait;M;FE;gu;1;;
4940;0035-0040;;IND;AIR Delhi;E;SAs;w;1;;
4940;0245-0300;;IND;AIR Delhi;E;SAs;w;1;;
4940;1530-1545;;IND;AIR Delhi;E;SAs;w;1;;
4940;1730-1735;;IND;AIR Delhi;E;SAs;w;1;;
4940;1735-1740;;IND;AIR Delhi;HI;SAs;w;1;;
4940;0000-0415;;IND;AIR Guwahati;ASS;SAs;w;5;;
4940;0025-0415;;IND;AIR Guwahati;ASS;SAs;w;4;;
4940;0415-0450;Su;IND;AIR Guwahati;ASS;SAs;w;1;;
4940;1135-1700;;IND;AIR Guwahati;ASS;SAs;w;1;;
4940;1700-1741;Sa;IND;AIR Guwahati;ASS;SAs;w;1;;
4940;1000-0200;;PRU;Radio San Antonio;S;PRU;at;1;;
4940;1900-2030;;USA;Voice of America;E;WAf;/STP;0;;
4940;2030-2100;SaSu;USA;Voice of America;E;WAf;/STP;0;;
4940;2030-2100;Mo-Fr;USA;Voice of America;HA;WAf;/STP;0;;
4949.8;0000-2400;;AGL;R Nacional, Canal A;P;Af;m;1;;
4950;1200-1600;;CHN;Voice of Pujiang;M;FE;sg;1;;
4950;0125-0130;;IND;AIR Delhi;SNK;SAs;sr;1;;
4950;0130-0135;;IND;AIR Delhi;HI;SAs;sr;1;;
4950;1230-1235;;IND;AIR Delhi;E;SAs;sr;1;;
4950;1530-1545;;IND;AIR Delhi;E;SAs;sr;1;;
4950;1546-1600;;IND;AIR Delhi;UR;SAs;sr;1;;
4950;1730-1735;;IND;AIR Delhi;E;SAs;sr;1;;
4950;0030-0215;;IND;AIR Srinagar;KS;SAs;sr;5;;
4950;0120-0215;;IND;AIR Srinagar;KS;SAs;sr;4;;
4950;1120-1739;;IND;AIR Srinagar;KS;SAs;sr;1;;
4950;2145-2320;Ram;IND;AIR Srinagar;KS;SAs;sr;1;;
4950;0900-0200;;PRU;Radio Madre de Dios;S;PRU;pm;1;;
4950;1200-1400;;RUS;Voice of Russia;AFG;AFG;/TJK;6;3010;1511
4950;1400-1900;;RUS;Voice of Russia;E;SAs;/TJK;6;3010;1511
4955;0930-0108;;PRU;R.Cultura Amauta, Huanta;S,Q;PRU;hu;1;;
4960;0900-0100;;EQA;R.Federacion Shuar,Sucúa;S;EQA;u;1;;
4960;0000-2400;;PNG;Radio Maria;E;PNG;va;8;;
4960;1200-1400;;RUS;Voice of Russia;AFG;AFG;/TJK;6;2612;3103
4960;1400-1900;;RUS;Voice of Russia;E;SAs;/TJK;6;2612;3103
4960;0400-0500;;USA;Voice of America;E;WAf;/STP;0;;
4960;0500-0530;;USA;Voice of America;HA;WAf;/STP;0;;
4960;0530-0630;Mo-Fr;USA;Voice of America;F;WAf;/STP;0;;
4960;0700-0730;;USA;Voice of America;HA;WAf;/STP;0;;
4965;0800-0100;;B;Rádio Alvorada,Parintins;P;B;pa;3;;
4970;0030-0035;;IND;AIR Delhi;HI;SAs;sg;1;;
4970;0245-0300;;IND;AIR Delhi;E;SAs;sg;1;;
4970;1230-1235;;IND;AIR Delhi;E;SAs;sg;1;;
4970;1515-1530;;IND;AIR Delhi;HI;SAs;sg;1;;
4970;1530-1545;;IND;AIR Delhi;E;SAs;sg;1;;
4970;1135-1140;;IND;AIR North-East;E;SAs;sg;1;;
4970;1300-1400;;IND;AIR North-East;E;SAs;sg;1;;
4970;0025-0400;;IND;AIR Shillong;KHS;SAs;sg;1;;
4970;0300-0305;;IND;AIR Shillong;E;SAs;sg;1;;
4970;1056-1630;;IND;AIR Shillong;KHS;SAs;sg;1;;
4970;1435-1440;;IND;AIR Shillong;E;SAs;sg;1;;
4975;0000-2400;;B;R.Mundial-Nossa Voz, SP;P;B;os;8;;
4975;0000-2400;;B;Rádio Iguatemi, SP;P;B;os;1;;
4975;0930-1030;;CHN;PBS Fujian;M;CHN;f;1;;
4975;2250-2320;;CHN;PBS Fujian;M;CHN;f;1;;
4975;0000-2400;;PRU;Radio del Pacifico;S;PRU;li;1;;
4976;0215-0600;;UGA;UBC Radio;E;EAf;k;1;2212;
4976;1300-2110;;UGA;UBC Radio;E;EAf;k;1;2212;
4980;1500-1600;;CHN;China National Radio 13;UI;CHN;uc;1;0412;
4980;1135-1500;;CHN;PBS Xinjiang;UI;CHN;uc;1;0412;
4980;1600-1800;;CHN;PBS Xinjiang;UI;CHN;uc;1;0412;
4980;2310-0300;;CHN;PBS Xinjiang;UI;CHN;uc;1;0412;
4984.2;1050-0400;;PRU;Radio Voz Cristiana;S;PRU;hz;1;;
4985;0000-2400;;B;Rádio Brasil Central;P;B;go;1;;
4990;2100-1700;;CHN;PBS Hunan;M;CHN;xt;1;;
4990;0030-0035;;IND;AIR Delhi;HI;SAs;it;1;;
4990;0245-0300;;IND;AIR Delhi;E;SAs;it;1;;
4990;0020-0400;;IND;AIR Itanagar;Vn;SAs;it;1;;
4990;1000-1415;;IND;AIR Itanagar;Vn;SAs;it;1;;
4990;1415-1420;;IND;AIR Itanagar;HI;SAs;it;1;;
4990;1420-1425;;IND;AIR Itanagar;E;SAs;it;1;;
4990;1425-1430;;IND;AIR Itanagar;HI;SAs;it;1;;
4990;0300-0305;;IND;AIR North-East;E;SAs;it;1;;
4990;0000-2400;;SUR;Radio Apintie;NL;SUR;;1;;
4996;0000-2400;;RUS;RWM Moscow;-TS;RUS;t;1;;
5000;0000-2400;;CHN;BPM Xian;-TS;CHN;p;1;;
5000;1200-1300;;EQA;HD2IOA Guayaquil;S;EQA;g;1;;
5000;0000-2400;;HWA;WWVH Hawaii (f.ann.);-TS;USA;b;1;;
5000;0000-2400;;I;CSP Torino DIGITAL;;SEu;;1;0601;
5000;0100-0800;Mo-Fr;KOR;HLA Taedok;-TS;KOR;t;1;;
5000;0000-2400;;USA;WWV Colorado (m.ann.);-TS;USA;fb;1;;
5000;0000-2400;;VEN;YVTO Caracas;S;VEN;y;1;;
5005;0455-2101;;GNE;Radio Bata;S;CAf;b;1;;
5005;0010-0015;;NPL;Radio Nepal;SNK;NPL;;1;;
5005;0215-0225;;NPL;Radio Nepal;E;NPL;;1;;
5005;0325-0330;Mo-Fr;NPL;Radio Nepal;NW;NPL;;1;;
5005;0330-0337;SaSu;NPL;Radio Nepal;NW;NPL;;1;;
5005;0417-0515;Su;NPL;Radio Nepal;MAI;NPL;;1;;
5005;0417-0515;Mo-Fr;NPL;Radio Nepal;SHP;NPL;;1;;
5005;0515-0715;SaSu;NPL;Radio Nepal;NE;NPL;;1;;
5005;0617-0630;Su;NPL;Radio Nepal;E;NPL;;1;;
5005;0715-1715;;NPL;Radio Nepal;NE;NPL;;1;;
5005;0815-0825;;NPL;Radio Nepal;E;NPL;;1;;
5005;1415-1425;;NPL;Radio Nepal;E;NPL;;1;;
5005;1615-1625;;NPL;Radio Nepal;HI;NPL;;1;;
5005;2315-0515;;NPL;Radio Nepal;NE;NPL;;1;;
5006;0000-2400;;J;JG2XA Propag.Studies;;FE;f;1;;
5010;2200-0600;;CUB;5025-5040 Cuba Mixing;S;CAm;;2;;
5010;1100-0430;;DOM;Radio Pueblo;S;DOM;;1;;
5010;1130-1200;;G;FEBA Radio;MAL;SAs;/IND-tv;1;;
5010;0035-0040;;IND;AIR Delhi;E;SAs;tv;1;;
5010;0125-0130;;IND;AIR Delhi;SNK;SAs;tv;1;;
5010;1220-1225;;IND;AIR Delhi;E;SAs;tv;1;;
5010;1230-1235;;IND;AIR Delhi;E;SAs;tv;1;;
5010;1240-1245;;IND;AIR Delhi;SNK;SAs;tv;1;;
5010;1515-1530;;IND;AIR Delhi;HI;SAs;tv;1;;
5010;1530-1545;;IND;AIR Delhi;E;SAs;tv;1;;
5010;1730-1735;;IND;AIR Delhi;E;SAs;tv;1;;
5010;0020-0215;;IND;AIR Thiruvananthapuram;MAL;SAs;tv;1;;
5010;1130-1740;;IND;AIR Thiruvananthapuram;MAL;SAs;tv;1;;
5010;0223-1900;;MDG;Radio Madagasikara;MSY;MDG;a;1;;
5014.3;0950-0350;;PRU;Radio Altura;S;PRU;cp;8;;
5015;0000-2400;;B;Rádio Cultura Cuiaba;P;B;cv;1;;
5015;0000-2400;;B;Rádio Pioneira, Teresina;P;B;te;8;;
5020;1900-1201;;SLM;Solomon Islands B.C.;E;SLM;;1;;
5025;0830-2130;;AUS;Australian Broadc.Co.;E;AUS;ka;6;2812;2812
5025;2130-0830;;AUS;Australian Broadc.Co.;E;AUS;ka;1;;
5025;0000-2400;;CUB;Radio Rebelde;S;Car;;1;;
5025;0700-0300;;PRU;Radio Quillabamba;S,Q;PRU;qb;1;;
5030;0540-0535;Th;UN;United Nations Radio;E;BTN;/BTN;1;;
5035;0900-2345;;B;R.Educacao Rural, Coari;P;B;co;3;;
5035;0000-2400;;B;Rádio Aparecida;P;B;ap;1;;
5035;1630-1905;irr;CAF;Radio Centrafrique;F;CAf;ba;1;;
5039.2;0930-0205;;PRU;Radio Libertad, Junin;S;PRU;ju;1;;
5040;0925-1031;;CHN;PBS Fujian;M;CHN;f;1;;
5040;2235-2325;;CHN;PBS Fujian;M;CHN;f;1;;
5040;0000-0100;;CUB;Radio Habana Cuba;E;CAm;;4;;
5040;0100-0130;;CUB;Radio Habana Cuba;CR;CAm;;2;;
5040;0130-0200;;CUB;Radio Habana Cuba;F;CAm;;2;;
5040;0200-0600;;CUB;Radio Habana Cuba;S;CAm;;2;;
5040;0600-0700;;CUB;Radio Habana Cuba;E;CAm;;2;0711;
5040;2200-2400;;CUB;Radio Habana Cuba;S;Car;;2;;
5040;2300-2400;;CUB;Radio Habana Cuba;E;CAm;;5;;
5040;0030-0035;;IND;AIR Delhi;HI;SAs;je;1;;
5040;0125-0130;;IND;AIR Delhi;SNK;SAs;je;1;;
5040;0230-0245;;IND;AIR Delhi;HI;SAs;je;1;;
5040;0245-0300;;IND;AIR Delhi;E;SAs;je;1;;
5040;1230-1235;;IND;AIR Delhi;E;SAs;je;1;;
5040;1430-1435;;IND;AIR Delhi;E;SAs;je;1;;
5040;1515-1530;;IND;AIR Delhi;HI;SAs;je;1;;
5040;1530-1545;;IND;AIR Delhi;E;SAs;je;1;;
5040;1546-1600;;IND;AIR Delhi;E;SAs;je;1;;
5040;1730-1735;;IND;AIR Delhi;E;SAs;je;1;;
5040;1735-1740;;IND;AIR Delhi;HI;SAs;je;1;;
5040;0025-0435;;IND;AIR Jeypore;OR;SAs;je;1;;
5040;0435-0445;Su;IND;AIR Jeypore;OR;SAs;je;1;;
5040;1115-1741;;IND;AIR Jeypore;OR;SAs;je;1;;
5045;0000-2400;;B;R.Cult.Ondas Tropicais;P;SAm;bt;8;;
5045;0000-2400;;B;Rádio Guaruja Paulista;P;B;g;8;;
5050;0000-2400;;AUS;VKD963 Ozyradio;E;Oc;sm;8;;
5050;0000-0100;;CHN;Beibu Bay Radio;M;FE;n;1;;
5050;1000-1100;;CHN;Beibu Bay Radio;CA;FE;n;1;;
5050;1100-1130;;CHN;Beibu Bay Radio;VN;FE;n;1;;
5050;1130-1200;Mo-Fr;CHN;Beibu Bay Radio;T;FE;n;1;;
5050;1130-1200;SaSu;CHN;Beibu Bay Radio;VN;FE;n;1;;
5050;1200-1330;Mo-Fr;CHN;Beibu Bay Radio;VN;FE;n;1;;
5050;1330-1600;;CHN;Beibu Bay Radio;VN;FE;n;1;;
5050;2300-2400;Fr-Sa;CHN;Beibu Bay Radio;M;FE;n;1;;
5050;2300-2400;Su-Th;CHN;Beibu Bay Radio;VN;FE;n;1;;
5050;1000-1300;;CHN;China Huayi BC;M;FE;f;4;;
5050;0025-0400;;IND;AIR Aizawl;MZ;SAs;az;1;;
5050;0335-0340;;IND;AIR Aizawl;E;SAs;az;1;;
5050;1130-1630;;IND;AIR Aizawl;MZ;SAs;az;1;;
5050;0035-0040;;IND;AIR Delhi;E;SAs;az;1;;
5050;1230-1235;;IND;AIR Delhi;E;SAs;az;1;;
5050;1430-1435;;IND;AIR Delhi;E;SAs;az;1;;
5050;1435-1440;;IND;AIR Delhi;E;SAs;az;1;;
5050;1515-1530;;IND;AIR Delhi;HI;SAs;az;1;;
5050;1530-1545;;IND;AIR Delhi;E;SAs;az;1;;
5050;1546-1600;;IND;AIR Delhi;E;SAs;az;1;;
5050;0300-0305;;IND;AIR North-East;E;SAs;az;1;;
5050;1135-1140;;IND;AIR North-East;E;SAs;az;1;;
5050;0100-0500;;USA;WWRB 2 Manchester, TN;E;Car;ma;6;0411;0903
5050;2300-0400;;USA;WWRB 2 Manchester, TN;E;Car;ma;6;2810;0311
5050;2300-0400;;USA;WWRB 2 Manchester, TN;E;Car;ma;6;1003;3103
5055;0730-0410;win;B;Rádio Difusoras, Cáceres;P;B;cc;8;;
5055;0000-2400;;B;Rádio Jornal a Critica;P;B;m;8;;
5055;2200-0600;;CUB;5025-5040 Cuba Mixing;S;CAm;;2;;
5055;1830-1500;;VUT;Radio Vanuatu;BSL;VUT;;1;;
5059.9;1000-0205;;PRU;La Voz de las Huarinjas;S;PRU;hb;1;;
5060;1135-1800;;CHN;PBS Xinjiang;M;CHN;uc;1;0412;
5060;2310-0300;;CHN;PBS Xinjiang;M;CHN;uc;1;0412;
5060;0400-0530;;CLA;V.o.Oromo Liberation;AH;EAf;;1;;
5060;1400-1630;;CLA;V.o.Oromo Liberation;AH;EAf;;1;;
5066.3;0300-0900;;COD;Radio Candip;F;CAf;bu;1;;
5066.3;1300-1905;;COD;Radio Candip;F;CAf;bu;1;;
5066.3;1905-2030;;COD;Radio Candip;F;CAf;bu;6;2201;2201
5070;2200-2400;;USA;WWCR 2 Nashville, TN;E;NAm;n;6;2810;0311
5070;2300-0100;;USA;WWCR 2 Nashville, TN;E;NAm;n;6;0411;0903
5075;1200-1600;;CHN;Voice of Pujiang;M;FE;sg;4;;
5080;1345-1445;;PAK;Radio Pakistan;PS;AFG;;0;;
5080;1445-1545;;PAK;Radio Pakistan;DR;AFG;;0;;
5085;0000-0200;;USA;WTWW Lebanon, TN;;NAm;L;6;1811;1002
5085;0000-0300;;USA;WTWW Lebanon, TN;;NAm;L;6;1102;3103
5085;0100-1300;;USA;WTWW Lebanon, TN;;NAm;L;6;2810;1711
5100;0015-0215;;AUS;VMC Charleville Met Fax;;Oc;;1;;
5100;0245-0330;;AUS;VMC Charleville Met Fax;;Oc;;1;;
5100;0400-0500;;AUS;VMC Charleville Met Fax;;Oc;;1;;
5100;0600-0945;;AUS;VMC Charleville Met Fax;;Oc;;1;;
5100;1015-1715;;AUS;VMC Charleville Met Fax;;Oc;;1;;
5100;1800-1845;;AUS;VMC Charleville Met Fax;;Oc;;1;;
5100;1915-2045;;AUS;VMC Charleville Met Fax;;Oc;;1;;
5100;2215-2400;;AUS;VMC Charleville Met Fax;;Oc;;1;;
5110;0000-0100;SaSu;USA;WBCQ The Planet;E;NAm;q;6;0411;0903
5110;0000-0200;;USA;WBCQ The Planet;E;NAm;q;6;1003;3103
5110;0000-0200;;USA;WBCQ The Planet;E;NAm;q;6;2810;0311
5110;0100-0300;;USA;WBCQ The Planet;E;NAm;q;6;0411;0903
5110;0200-0300;Sa-Mo;USA;WBCQ The Planet;E;NAm;q;6;2810;0311
5110;0200-0300;Sa-Mo;USA;WBCQ The Planet;E;NAm;q;6;1003;3103
5110;0300-0400;Sa-Mo;USA;WBCQ The Planet;E;NAm;q;6;0411;0903
5110;2300-2400;SaSu;USA;WBCQ The Planet;E;NAm;q;6;2810;0311
5110;2300-2400;SaSu;USA;WBCQ The Planet;E;NAm;q;6;1003;3103
5120;1045-0300;;PRU;Ondas del Suroriente;S;PRU;qb;6;2810;2701
5130;1630-1730;;KGZ;Radio Sedaye Zindagi;AFG;AFG;;2;;
5146;0430-0450;Th;RUS;Russian Spy Numbers;E;;;1;0110;3110
5146;0530-0550;Th;RUS;Russian Spy Numbers;E;;;1;0111;3103
5146;0610-0630;Th;RUS;Russian Spy Numbers;E;;;1;0111;3103
5150;0400-0455;;KOR;MND Radio;K;KRE;c;1;0811;
5150;0500-0540;;KOR;MND Radio;K;KRE;c;6;2810;0711
5150;1000-1040;;KOR;MND Radio;K;KRE;c;6;2810;0711
5150;1200-1255;;KOR;MND Radio;K;KRE;c;1;0811;
5164;2020-2040;We;RUS;Russian Spy Numbers;E;;;1;0110;3110
5164;2120-2140;We;RUS;Russian Spy Numbers;E;;;1;0111;3103
5182;2040-2100;Mo,We;RUS;Russian Spy Numbers;E;;;1;0101;3101
5234;0800-0820;Tu,Th;RUS;Russian Spy Numbers;E;;;1;0112;3112
5278;2040-2100;Mo,We;RUS;Russian Spy Numbers;E;;;1;0112;3112
5285;0000-2400;;UZB;Tashkent Meteo Fax;;CAs;ta;1;;
5290;0700-0735;;KOR;MND Radio;K;KRE;c;1;0112;
5290;0700-0740;;KOR;MND Radio;K;KRE;c;6;2810;0711
5385;0000-2400;;KOR;HLL Seoul Meteo Fax;;FE;sg;1;;
5410;0455-0535;;KOR;MND Radio;K;KRE;c;6;0811;3011
5410;1000-1040;;KOR;MND Radio;K;KRE;c;6;0811;3011
5416;0800-0820;Tu,Th;RUS;Russian Spy Numbers;E;;;1;0101;3101
5448;0330-1430;;RUS;The Pip, Rostov;-TS;EEu;;5;;
5448;0430-1300;;RUS;The Pip, Rostov;-TS;EEu;;4;;
5449;2130-2150;Th;RUS;Russian Spy Numbers;E;;;1;0111;2902
5450;0000-2400;;G;RAF Volmet;E;Eu;;1;;
5460.2;1000-0135;;PRU;Radio Emisora Bolivar;S;PRU;bv;1;;
5485.4;1000-0130;;PRU;La Reina de la Selva;S;PRU;ch;1;;
5485.6;1000-0200;;PRU;R.Frecuencia Popular;S;PRU;;1;;
5505;0000-2400;;IRL;Shannon Volmet;E;Eu;s;1;;
5525;0000-2400;;CHN;BAF Beijing Meteo Fax;;FE;bm;1;;
5580.2;0900-0200;;BOL;Radio San Jose;S;BOL;;1;;
5597;0330-0430;;VTN;Lao Cai;VN;VTN;;1;;
5597;0945-1100;;VTN;Lao Cai;VN;VTN;;1;;
5597;1145-1400;;VTN;Lao Cai;VN;VTN;;1;;
5597;2200-2300;;VTN;Lao Cai;VN;VTN;;1;;
5598;0000-2400;;IRL;Shanwick Radio;E;NAO;;1;;
5680;0000-2400;;XUU;Search and Rescue Coord;E;;;1;;
5691;0000-2400;;RUS;Irkutsk Volmet x25,x55;R;Sib;;1;;
5691;0000-2400;;RUS;Khabarovs Volmet x15,45;R;FE;;1;;
5691;0000-2400;;RUS;Kirensk Volmet x00,x30;R;Sib;;1;;
5691;0000-2400;;RUS;Magadan Volmet x20,x50;R;FE;;1;;
5691;0000-2400;;RUS;Yakutsk Volmet x10,x40;R;Sib;;1;;
5734;0820-0840;Tu,Th;RUS;Russian Spy Numbers;E;;;1;0112;3112
5745;1100-1400;;USA;Radio Marti;S;CUB;g;6;2011;3103
5745;1300-1400;;USA;Radio Marti;S;CUB;g;6;2810;1911
5745;0230-0300;SaSu;USA;Voice of America;E;ENA;g;6;0903;3103
5745;0100-1300;;USA;WTWW Lebanon, TN;;NAm;L;6;2810;1711
5755;1100-1715;;AUS;VMW Wiluna Met Fax;;Oc;;1;;
5755;1800-1845;;AUS;VMW Wiluna Met Fax;;Oc;;1;;
5755;1915-2045;;AUS;VMW Wiluna Met Fax;;Oc;;1;;
5762;0200-0300;;CUB;Cuban Spy Numbers;S;Am;;1;;
5765;0800-2100;irr;USA;AFRTS;E;Oc;/GUM-b;1;;
5770;0030-0430;;MYA;Myanma Army Radio;BR;SEA;;8;;
5770;0730-0930;;MYA;Myanma Army Radio;BR;SEA;;8;;
5770;1130-1530;;MYA;Myanma Army Radio;BR;SEA;;8;;
5773;2040-2100;We;RUS;Russian Spy Numbers;E;;;1;0104;3009
5780;1700-1945;Mo-Fr;XUU;Long Live Radio;E;Eu;;0;;
5782;0700-0720;Tu,Th;RUS;Russian Spy Numbers;E;;;1;0110;3110
5790;0300-0500;;G;BBC;A;ME;w;0;;
5790;0400-0700;;G;BBC;A;WAf;w;0;;
5790;1700-2100;;G;BBC;A;WAf;s;0;;
5790;1800-2100;;G;BBC;A;ME;s;0;;
5800;0000-2400;;CUB;Cuban Spy Numbers;S;Am;;1;;
5800;0800-1500;;HOL;FRS Holland;E;Eu;;6;3012;3012
5800;0852-1400;;HOL;FRS Holland;E;Eu;;6;2402;2402
5803;0115-0200;;CAN;VFA Inuvik Radio;E;NAm;in;1;1005;3110
5803;1315-1400;;CAN;VFA Inuvik Radio;E;NAm;in;1;1005;3110
5807;0000-2400;;J;Japanese Slot Machine;;FE;;1;;
5807;0000-0015;;NZL;ZKLF Wellington Met Fax;;Oc;;1;;
5807;0100-0115;;NZL;ZKLF Wellington Met Fax;;Oc;;1;;
5807;0200-0215;;NZL;ZKLF Wellington Met Fax;;Oc;;1;;
5807;0300-0315;;NZL;ZKLF Wellington Met Fax;;Oc;;1;;
5807;0400-0415;;NZL;ZKLF Wellington Met Fax;;Oc;;1;;
5807;0900-0915;;NZL;ZKLF Wellington Met Fax;;Oc;;1;;
5807;1000-1015;;NZL;ZKLF Wellington Met Fax;;Oc;;1;;
5807;1100-1115;;NZL;ZKLF Wellington Met Fax;;Oc;;1;;
5807;1200-1215;;NZL;ZKLF Wellington Met Fax;;Oc;;1;;
5807;1300-1315;;NZL;ZKLF Wellington Met Fax;;Oc;;1;;
