June 2012,,,,,,,,
CTRY,CALLSIGN,NAME,Observations,N<30,N<60,N<120,N>360,Average (R-O) (mins)
CA  , CG2992, ECKALOO,498,496,498,498,0,11.1
CA  , CGJV, EDWARD CORNWALLIS,189,189,189,189,0,11
CA  , CGCX, GEORGE R. PEARKES,715,713,715,715,0,11
CA  , CGBR, GORDON REID,705,703,705,705,0,11.1
CA  , CGDS, GRIFFON,655,652,655,655,0,11.1
CA  , CGHL, HENRY LARSEN,654,652,654,654,0,11.1
CA  , 8PSH, I. T. INTREPID,232,232,232,232,0,14.6
CA  , CG2958, JOHN P. TULLY,717,714,717,717,0,11.1
CA  , CZ3695, KELLY OVAYUAK,47,47,47,47,0,11
CA  , CG2350, LIMNOS,709,707,709,709,0,11.1
CA  , VCWL, MARIA DESGAGNES,538,531,535,538,0,11.5
CA  , CGCC, MARTHA L. BLACK,609,607,609,609,0,11.1
CA  , CZ9742, NAMAO,635,634,635,635,0,11
CA  , VCYL, NORDIK EXPRESS,637,635,637,637,0,11.3
CA  , CFN5537, NULIAJUK,459,457,459,459,0,11.1
CA  , VC6750, NUNAKPUT,653,651,653,653,0,11
CA  , VOLG, OCEANEX SANDERLING,555,553,555,555,0,11.1
CA  , VRYO3, OOCL MONTREAL,561,561,561,561,0,11
CA  , VCBZ, PETER R. CRESSWELL,632,630,632,632,0,11.1
CA  , CGSB, PIERRE RADISSON,658,656,658,658,0,11.1
CA  , CG2960, SAMUEL RISLEY,671,669,671,671,0,11.1
CA  , CGUM, SIR  WILLIAM ALEXANDER,601,600,601,601,0,11
CA  , CGJK, SIR WILFRID LAURIER,643,642,643,643,0,11
CA  , 3FZK3, SKAUBRYN,188,186,188,188,0,11.3
CA  , VOFG, STRAIT EXPLORER,603,601,603,603,0,11.1
CA  , CGBY, TANU,576,574,576,576,0,11.1
CA  , CGTF, TERRY FOX,702,700,702,702,0,11.1
CA  , CG2965, W. E. RICKER,713,711,713,713,0,11.1
CA  , C6SI6, WESTWOOD VICTORIA,713,708,712,712,1,11.8
CL  , CCES, ESMERALDA,52,19,24,32,8,163.1
CL  , CCLY, LYNCH,32,1,5,12,16,993.7
DE  , C6CN4, ALBATROS,20,4,8,18,0,60.5
DE  , A8UG6, ALDEBARAN,28,13,27,27,0,34.8
DE  , DDKK2, ALEXANDER VON HUMBOLDT 2,13,11,12,13,0,17.7
DE  , 9HXA5, ALGARVE,21,10,18,20,1,104.1
DE  , 9VKY3, ALGOL,4,3,4,4,0,18.5
DE  , 9VKY2, ALIOTH,12,8,12,12,0,23.2
DE  , DBND, ALKOR,646,646,646,646,0,2.6
DE  , V2AH1, ALVSBORG BRIDGE,33,3,7,31,0,65.1
DE  , DGLM, ANDRE RICKMERS,19,10,15,18,0,38.4
DE  , A8HJ2, ANGLIA,4,0,4,4,0,54
DE  , A8JM5, ANL BENALLA,19,19,19,19,0,15.3
DE  , A8IH2, ANL BINBURRA,25,0,20,25,0,66.8
DE  , A8JJ8, ANNABA,24,20,22,23,0,28.3
DE  , A8CC4, APL ARABIA,17,15,17,17,0,10.9
DE  , V2AJ8, APL ARGENTINA,1,0,0,1,0,71
DE  , A8CG6, APL CANADA,30,20,28,30,0,31.5
DE  , V2OB8, APL CHILE,12,3,10,11,0,40.2
DE  , A8JX9, APL DENMARK,6,3,5,5,1,81
DE  , A8BZ6, APL EGYPT,27,12,23,24,1,62.6
DE  , A8JX7, APL INDIA,9,6,9,9,0,23.2
DE  , A8SZ7, APL MANILA,34,22,33,34,0,30.5
DE  , A8JX8, APL SWEDEN,30,27,30,30,0,21.1
DE  , A8HJ6, AQUITANIA,6,0,1,6,0,103.8
DE  , DBBU, ARKONA,679,678,678,678,1,0
DE  , A8HJ8, AS ALICANTIA,10,8,9,9,1,393.2
DE  , A8TL9, AS CARELIA,25,20,25,25,0,19.2
DE  , A8JT4, AS CARIA,3,2,3,3,0,26.3
DE  , ZDKR4, AS CARINTHIA,1,1,1,1,0,11
DE  , A8KC9, AS CATALANIA,11,3,5,8,0,69.3
DE  , A8CK2, AS SCANDIA,2,1,2,2,0,21.5
DE  , A8XD5, AS VALDIVIA,40,34,38,40,0,14.2
DE  , A8SO8, AS VALENTIA,31,20,26,31,0,29
DE  , A8UA9, AS VENETIA,13,0,10,13,0,68
DE  , A8SO7, AS VICTORIA,10,8,10,10,0,10.9
DE  , A8VV3, AS VINCENTIA,62,51,59,61,0,21.7
DE  , A8SO9, AS VIRGINIA,25,7,16,22,0,58.6
DE  , DBBI, ATAIR,210,210,210,210,0,2.8
DE  , DILE, ATLANTA EXPRESS,55,50,54,55,0,16.5
DE  , A8AD6, BACO-LINER 1,7,7,7,7,0,8
DE  , A8AD7, BACO-LINER 2,24,15,20,24,0,26.5
DE  , A8SF7, BAHIA,29,23,27,28,0,24.9
DE  , A8SF8, BAHIA BLANCA,33,29,32,32,0,19.7
DE  , A8SF9, BAHIA CASTILLO,32,11,18,23,2,108.6
DE  , A8SG2, BAHIA GRANDE,16,16,16,16,0,11.4
DE  , A8SG3, BAHIA LAURA,26,25,26,26,0,7.8
DE  , A8ZP9, BALTRUM TRADER,21,1,9,21,0,62.4
DE  , DCPY2, BANGKOK EXPRESS,10,4,7,8,1,207.1
DE  , DGHX, BERLIN EXPRESS,47,45,47,47,0,15.8
DE  , ELVL8, BONAVIA,21,14,18,20,0,31.6
DE  , C6JC3, BREMEN,8,2,3,4,1,159.5
DE  , DGZL, BREMEN EXPRESS,160,151,155,155,1,25.1
DE  , DGWE2, BUDAPEST EXPRESS,12,10,12,12,0,15.2
DE  , DCPX2, BUSAN EXPRESS,46,32,43,45,0,29.1
DE  , A8UQ2, BUXHILL,7,6,7,7,0,21
DE  , DFCW2, CANBERRA EXPRESS,86,55,83,86,0,25
DE  , A8PG7, CAP BEAUFORT,10,10,10,10,0,11.7
DE  , A8PI5, CAP CASTILLO,18,14,17,18,0,18.9
DE  , A8MW8, CAP GABRIEL,23,17,21,23,0,24.8
DE  , A8MX4, CAP GREGORY,32,18,30,32,0,28.3
DE  , A8RH6, CAP HAMILTON,50,39,46,49,0,21.9
DE  , A8RH7, CAP HARALD,9,8,8,8,0,22.8
DE  , A8VD8, CAP HARRIET,45,32,40,42,3,112.2
DE  , A8VD9, CAP HARRISSON,67,48,66,67,0,23.7
DE  , A8VE2, CAP HARVEY,142,124,140,141,0,17.2
DE  , A8VE3, CAP HENRI,18,10,14,17,1,112.6
DE  , A8VL6, CAP JACKSON,56,44,55,56,0,20.1
DE  , A8VL7, CAP JERVIS,20,20,20,20,0,16.5
DE  , A8DK4, CAP MELVILLE,2,1,1,2,0,58.5
DE  , A8OH4, CAP PALLISER,139,132,139,139,0,9.8
DE  , A8DE3, CAP PALMAS,47,40,47,47,0,17
DE  , A8MW6, CAP PALMERSTON,45,36,45,45,0,20
DE  , A8NQ7, CAP PATTON,44,37,42,42,2,71.9
DE  , A8MQ9, CAP PORTLAND,68,48,63,67,0,23.2
DE  , DPJK, CAP RICARDA,70,49,66,70,0,20.2
DE  , A8IY4, CAP ROBERTA,17,17,17,17,0,10.5
DE  , A8RL5, CAP SCOTT,63,58,62,63,0,16.2
DE  , DMRG, CAP VALIENTE,63,49,58,62,1,24.5
DE  , A8IX9, CAP VERDE,24,17,23,24,0,24.1
DE  , V7JM2, CAPE MONDEGO,8,0,5,8,0,75.2
DE  , A8AC4, CARLOS FISCHER,14,6,13,14,0,31.1
DE  , A8HI8, CARPATHIA,17,10,15,17,0,29.2
DE  , A8IG4, CCNI ATENA,36,16,35,36,0,29.2
DE  , A8IX5, CHAITEN,14,3,11,14,0,44.6
DE  , DCUJ2, CHICAGO EXPRESS,37,27,36,37,0,23.6
DE  , A8HJ4, CIMBRIA,3,2,3,3,0,12
DE  , D5BB9, CMA CGM ALABAMA,5,3,4,5,0,22.4
DE  , DIHN, CMA CGM BALZAC,10,8,10,10,0,22.8
DE  , DHSI, CMA CGM BUENOS AIRES,31,15,24,30,0,40.4
DE  , A8NO8, CMA CGM BUTTERFLY,28,26,27,27,0,24.5
DE  , A8IE8, CMA CGM CARMEN,19,13,17,18,1,79.2
DE  , A8SU4, CMA CGM CORNEILLE,1,0,1,1,0,60
DE  , A8IE7, CMA CGM DON GIOVANNI,11,9,11,11,0,18.6
DE  , A8OF6, CMA CGM ESPERANZA,12,7,12,12,0,20.6
DE  , DCTA2, CMA CGM HUGO,45,39,45,45,0,22.4
DE  , A8NO9, CMA CGM IVANHOE,11,7,7,9,2,277.5
DE  , A8IG2, CMA CGM LAVENDER,3,2,3,3,0,28
DE  , A8IF2, CMA CGM MIMOSA,36,0,34,36,0,55.6
DE  , A8NO6, CMA CGM ORFEO,77,75,76,76,0,16.7
DE  , A8LP6, CMA CGM PARSIFAL,20,17,17,17,3,226.4
DE  , A8NO7, CMA CGM PELLEAS,14,0,1,5,1,175.8
DE  , DCPQ2, CMA CGM QINGDAO,4,0,2,2,0,171.2
DE  , DFUM2, CMA CGM VELA,19,10,17,18,0,47.8
DE  , DQXQ, CMA CGM VOLTAIRE,9,6,9,9,0,30.8
DE  , DIHC, COLOMBO EXPRESS,73,66,73,73,0,14.6
DE  , DDJR2, CONTI ANPING,1,0,1,1,0,52
DE  , A8OF7, CONTI ARABELLA,29,12,29,29,0,28.6
DE  , ELTN2, CONTI CHIWAN,1,0,1,1,0,32
DE  , A8OZ6, CONTI DAPHNE,2,1,1,1,1,321
DE  , A8NA3, CONTI ELEKTRA,1,0,0,0,0,130
DE  , A8IV9, CONTI EMDEN,10,0,8,10,0,66.5
DE  , A8VH7, CONTI ESPERANCE,7,4,4,5,0,71.7
DE  , A8QM9, CONTI GREENLAND,5,3,5,5,0,22.2
DE  , A8LL8, CONTI SALOME,12,9,11,12,0,21.2
DE  , DNHS, CONTI SHANGHAI,20,15,17,19,1,83.2
DE  , DNES, CONTI SINGA,20,19,20,20,0,11.7
DE  , DCSL2, COSCO CHINA,26,21,25,25,1,33.8
DE  , DDDO2, COSCO GERMANY,9,8,9,9,0,25.1
DE  , A8HG2, COSCO LONG BEACH,15,11,15,15,0,20.7
DE  , DDGK2, COSCO NAPOLI,31,0,23,31,0,67.9
DE  , A8GF4, COSCO SHENZHEN,18,17,17,18,0,16.4
DE  , A8EO8, COSCO VANCOUVER,27,24,24,26,0,27.4
DE  , A8EH3, COSCO YOKOHAMA,12,11,12,12,0,12.1
DE  , A8QR9, CS DISCOVERY,3,0,1,3,0,79.7
DE  , DQVL, CSAV APPENNINI,22,17,19,20,1,54.2
DE  , DBUV, CSAV HOUSTON,26,12,22,26,0,36.7
DE  , A8OH7, CSAV ITAJAI,6,4,5,6,0,30.8
DE  , A8TI2, CSAV LARAQUETE,14,12,12,12,0,57.7
DE  , A8IF5, CSAV PARIS,82,76,82,82,0,13.9
DE  , DQVN, CSAV PYRENEES,77,47,73,75,1,33.5
DE  , A8WC8, CSAV RIO BUENO,51,46,47,49,1,40.3
DE  , A8TC4, CSAV RIO ILLAPEL,23,22,23,23,0,12
DE  , A8RH4, CSAV ROMERAL,2,0,1,2,0,82.5
DE  , A8QL5, CSAV RUNGUE,29,16,24,25,2,104
DE  , A8PA8, CSAV RUPANCO,14,1,3,3,2,225.3
DE  , A8IF4, CSAV VALENCIA,13,13,13,13,0,18.5
DE  , A8FQ8, DAL KALAHARI,74,66,70,71,0,22.7
DE  , DGXS, DALIAN EXPRESS,39,38,38,38,1,19.5
DE  , DGAF, DALLAS EXPRESS,40,37,40,40,0,17.5
DE  , DBBA, DENEB,632,631,631,631,1,3.5
DE  , DMMC, DEUTSCHLAND,11,3,3,7,0,104.8
DE  , V2OD5, DOLLART TRADER,11,5,8,10,0,50.6
DE  , DHDE, DRESDEN EXPRESS,69,62,69,69,0,16.9
DE  , DDSB2, DUBLIN EXPRESS,72,70,72,72,0,13.3
DE  , DGDD, DUESSELDORF EXPRESS,45,43,45,45,0,11.7
DE  , A8SZ3, E.R. BAVARIA,25,21,25,25,0,14.3
DE  , A8VC9, E.R. BAYERN,23,22,23,23,0,21.5
DE  , A8UT7, E.R. BAYONNE,18,6,16,18,0,46.6
DE  , ELZX2, E.R. BERLIN,1,1,1,1,0,11
DE  , A8UU3, E.R. BOSTON,62,13,57,61,0,51.1
DE  , A8SZ5, E.R. BRANDENBURG,32,0,31,32,0,55.9
DE  , ELYA5, E.R. BRISBANE,24,19,21,24,0,23.6
DE  , A8UU2, E.R. BUENOS AIRES,25,23,25,25,0,16.9
DE  , A8FL5, E.R. CAEN,5,0,4,5,0,62.2
DE  , A8AL5, E.R. FREMANTLE,27,7,23,27,0,55.8
DE  , A8CS3, E.R. KINGSTON,15,12,13,15,0,22.1
DE  , DADD, E.R. MELBOURNE,47,38,46,46,0,20.2
DE  , A8CF3, E.R. NEW YORK,13,11,12,13,0,15.7
DE  , DBUQ, E.R. PUSAN,35,21,32,33,0,36.3
DE  , DPTL, E.R. STRALSUND,12,4,9,12,0,41.1
DE  , A8CS2, E.R. YANTIAN,4,3,4,4,0,14.2
DE  , DBEA, ELBE,650,649,649,649,1,0.5
DE  , ELWR2, ELBWOLF,49,13,34,38,2,84.6
DE  , DBKR, ELISABETH MANN BORGESE,670,669,669,669,1,3.3
DE  , A8GA5, EMIRATES GANGES,83,65,78,82,0,25
DE  , DHEE, ESSEN EXPRESS,28,22,23,24,3,174.9
DE  , DDZJ2, EVER CHAMPION,1,0,1,1,0,41
DE  , DDZI2, EVER CHARMING,6,6,6,6,0,13.2
DE  , DDZC2, EVER CHIVALRY,33,32,33,33,0,9.7
DE  , DDZD2, EVER CONQUEST,11,5,11,11,0,29.1
DE  , ELXU2, EYRENE,18,10,14,16,0,39.6
DE  , DGZS2, FRANKFURT EXPRESS,30,26,29,30,0,18.1
DE  , A8IY8, FRISIA KIEL,124,50,105,122,1,44
DE  , A8IY9, FRISIA LISSABON,14,13,14,14,0,21.4
DE  , A8IY6, FRISIA WISMAR,38,19,30,35,0,42.4
DE  , A8FW3, GASCHEM WESER,8,0,1,3,1,219.4
DE  , DDSC2, GLASGOW EXPRESS,90,79,86,89,0,21.1
DE  , DHDH, HANJIN AMSTERDAM,26,17,22,25,0,38.3
DE  , DHPU, HANJIN BASEL,56,0,0,0,52,950.4
DE  , DDZK2, HANJIN BOSTON,9,8,9,9,0,12.9
DE  , DCCN2, HANJIN CHICAGO,12,10,11,12,0,18.3
DE  , DHDM, HANJIN COPENHAGEN,63,38,55,55,7,187.7
DE  , DHZQ, HANJIN GENEVA,1,0,1,1,0,46
DE  , DAXJ, HANJIN GOTHENBURG,29,16,26,28,1,80.5
DE  , DQVJ, HANJIN HAIPHONG,14,12,13,13,0,35.5
DE  , DPUW, HANJIN HELSINKI,1,0,0,1,0,101
DE  , DCCM2, HANJIN LISBON,8,2,7,7,1,127.5
DE  , DHQS, HANJIN MADRID,1,1,1,1,0,21
DE  , DQVH, HANJIN MUNDRA,22,20,22,22,0,19.7
DE  , DEDM, HANJIN PALERMO,10,9,10,10,0,7.2
DE  , A8CN8, HANJIN PHILADELPHIA,7,4,6,7,0,42.4
DE  , A8CN9, HANJIN PHOENIX,21,13,19,21,0,29.6
DE  , A8CP6, HANJIN PRETORIA,18,12,18,18,0,21.6
DE  , DQVM, HANJIN SAN DIEGO,36,33,34,35,0,20.9
DE  , DFHA, HANJIN TAIPEI,1,0,1,1,0,46
DE  , DIBZ, HANJIN VIENNA,33,24,29,30,1,50.5
DE  , DDYZ2, HANJIN YANTIAN,5,2,5,5,0,29.2
DE  , DFGX2, HANOVER EXPRESS,23,22,23,23,0,12
DE  , DHAF, HANSA ATLANTIC,14,10,12,14,0,21.4
DE  , ELWO6, HANSA BREMEN,74,30,45,57,3,96
DE  , A8NG3, HANSA CLOPPENBURG,6,4,5,5,1,104.3
DE  , DHHZ, HANSA CONSTITUTION,4,2,3,3,1,371.2
DE  , DPTT, HANSA INDIA,23,11,17,22,1,65.7
DE  , ELUC5, HANSA LUEBECK,44,17,25,34,1,83.6
DE  , ELUA3, HANSA STOCKHOLM,11,5,7,9,1,86.4
DE  , DBZT, HANSA VICTORY,16,15,16,16,0,13.8
DE  , ELWR5, HANSA VISBY,15,15,15,15,0,8.3
DE  , DDZG2, HATSU COURAGE,5,1,5,5,0,37.2
DE  , DDZH2, HATSU CRYSTAL,32,22,31,32,0,17.6
DE  , A8CG7, HEIKE P,20,13,19,20,0,21.8
DE  , DBCK, HEINCKE,634,634,634,634,0,3.3
