00;000;PABL;Buckland, Buckland Airport;AK;United States;4;65-58-56N;161-09-07W;;;7;;
01;306;----;Hellisoy Fyr;;Norway;6;60-45N;004-43E;;;23;23;
01;310;ENFL;Floro;;Norway;6;61-35N;005-02E;;;0;9;
01;311;ENBR;Bergen / Flesland;;Norway;6;60-17N;005-14E;;;5;50;P
01;317;----;Bergen / Florida;;Norway;6;60-23N;005-20E;;;12;36;P
01;319;----;Takle;;Norway;6;61-02N;005-23E;;;38;;
01;320;ENSD;Sandane / Anda;;Norway;6;61-50N;006-07E;;;6;60;
01;321;----;Stryn;;Norway;6;61-54N;006-33E;;;;208;
01;322;----;Forde-Tefre;;Norway;6;61-28N;005-55E;;;64;64;
01;323;----;Forde / Bringelandsasen;;Norway;6;61-24N;005-46E;;;31;319;
01;325;----;Modalen Ii;;Norway;6;60-50N;005-57E;;;114;;
01;328;----;Kvamskogen;;Norway;6;60-24N;005-55E;;;408;;
01;330;----;Omastrand;;Norway;6;60-13N;005-59E;;;1;6;
01;336;ENBM;Voss-Bo;;Norway;6;60-39N;006-30E;;;125;122;
01;338;----;Vangsnes;;Norway;6;61-10N;006-39E;;;;51;
01;341;----;Eidfjord-Bu;;Norway;6;60-28N;006-52E;;;117;119;
01;344;----;Reimegrend;;Norway;6;60-41N;006-45E;;;590;;
01;347;ENSG;Sogndal / Haukasen;;Norway;6;61-09N;007-08E;;;49;497;
01;350;----;Finsevatn;;Norway;6;60-36N;007-32E;;;;1208;
01;355;----;Laerdal-Tonjum;;Norway;6;61-04N;007-31E;;;24;36;
01;357;----;Fortun;;Norway;6;61-30N;007-42E;;;35;35;
01;360;----;Brata;;Norway;6;61-54N;007-52E;;;712;711;
01;364;----;Geilo-Geilostolen;;Norway;6;60-31N;008-13E;;;810;;
01;366;----;Sognefjell;;Norway;6;61-34N;008-00E;;;1415;;
01;367;----;Fagernes;;Norway;6;60-59N;009-14E;;;365;365;P
01;368;ENFG;Fagernes Leirin;;Norway;6;61-00N;009-18E;;;822;;
01;370;----;Skabu-Storslaen;;Norway;6;61-31N;009-23E;;;865;;
01;372;----;Nesbyen-Skoglund;;Norway;6;60-34N;009-08E;;;167;167;
01;374;----;Vest-Torpa Ii;;Norway;6;60-56N;010-02E;;;542;;
01;375;----;Kvitfjell;;Norway;6;61-29N;009-58E;;;1028;;
01;378;----;Lillehammer-Saetherengen;;Norway;6;61-06N;010-28E;;;239;;
01;379;----;Sor-Nesset;;Norway;6;61-53N;010-09E;;;739;;
01;380;----;Venabu;;Norway;6;61-39N;010-07E;;;940;;
01;383;----;Evenstad-Overenget;;Norway;6;61-24N;011-09E;;;255;;
01;384;ENGM;Oslo / Gardermoen;;Norway;6;60-12N;011-05E;60-12N;011-06E;20;204;P
01;389;----;Haugedalshogda;;Norway;6;61-10N;011-27E;;;240;;
01;391;----;Flisa;;Norway;6;60-37N;012-01E;;;184;188;
01;393;----;Drevsjo;;Norway;6;61-53N;012-03E;;;672;674;
01;397;----;Trysil Vegstasjon;;Norway;6;61-18N;012-16E;;;;360;
01;400;----;Ekofisk;;Norway;6;56-32N;003-13E;56-32N;003-13E;46;46;
01;403;----;Utsira Fyr;;Norway;6;59-18N;004-53E;;;55;56;P
01;406;----;Slatteroy Fyr;;Norway;6;59-55N;005-04E;;;15;16;P
01;408;ENHD;Haugesund / Karmoy;;Norway;6;59-21N;005-13E;;;2;24;
01;412;----;Obrestad;;Norway;6;58-39N;005-34E;;;26;26;
01;415;ENZV;Stavanger / Sola;;Norway;6;58-53N;005-38E;58-52N;005-40E;0;9;P
01;417;----;Nedre Vats;;Norway;6;59-29N;005-45E;;;64;65;
01;423;----;Fister-Tonnevik;;Norway;6;59-10N;006-03E;;;50;;
01;424;----;Sauda;;Norway;6;59-39N;006-22E;;;5;6;
01;425;----;Ualand-Bjuland;;Norway;6;58-33N;006-21E;;;196;201;
01;426;----;Lista Fyr;;Norway;6;58-07N;006-34E;;;;14;
01;427;----;Lista Fyr;;Norway;6;58-07N;006-34E;;;14;14;P
01;428;ENLI;Lista Flyplass;;Norway;6;58-06N;006-38E;;;1;10;
01;432;----;Sirdal-Tjorhom;;Norway;6;58-53N;006-51E;;;500;;
01;433;----;Midtlaeger;;Norway;6;59-50N;006-59E;;;1082;1081;
01;434;----;Vaagsli;;Norway;6;59-46N;007-22E;;;;822;
01;436;----;Lindesnes Fyr;;Norway;6;57-59N;007-03E;;;13;;
01;439;----;Konsmo-Hoyland;;Norway;6;58-15N;007-19E;;;260;;
01;441;----;Hovden-Lundane;;Norway;6;59-35N;007-23E;;;;836;
01;442;----;Byglandsfjord-Solbakken;;Norway;6;58-40N;007-48E;;;212;211;
01;446;----;Oyfjell-Trovatn;;Norway;6;59-34N;008-12E;;;715;714;P
01;448;----;Oksoy Fyr;;Norway;6;58-04N;008-03E;;;9;8;P
01;450;----;Mosstrand Ii;;Norway;6;59-50N;008-11E;;;977;;
01;452;ENCN;Kristiansand / Kjevik;;Norway;6;58-12N;008-05E;;;1;17;P
01;453;----;Kristiansand / Kjevik;;Norway;6;58-13N;008-05E;;;;16;
01;455;----;Tveitsund;;Norway;6;59-02N;008-31E;;;252;255;P
01;459;----;Nelaug;;Norway;6;58-39N;008-38E;;;142;;
01;465;----;Torungen Fyr;;Norway;6;58-24N;008-48E;;;12;15;
01;467;----;Lyngor Fyr;;Norway;6;58-38N;009-09E;;;4;5;P
01;474;----;Lyngdal I Numedal;;Norway;6;59-54N;009-32E;;;288;294;
01;475;ENSN;Skien-Geiteryggen;;Norway;6;59-11N;009-34E;;;1;14;
01;476;----;Jomfruland Fyr;;Norway;6;58-51N;009-33E;;;12;5;
01;477;----;Kongsberg Iv;;Norway;6;59-40N;009-39E;;;168;169;P
01;482;----;Ferder Fyr;;Norway;6;59-02N;010-32E;;;6;8;P
01;483;ENTO;Torp;;Norway;6;59-12N;010-16E;;;8;88;
01;488;ENFB;Oslo / Fornebu;;Norway;6;59-54N;010-38E;;;1;17;P
01;490;----;Tryvasshogda Ii;;Norway;6;59-59N;010-41E;;;528;529;
01;492;----;Oslo-Blindern;;Norway;6;59-57N;010-43E;;;94;96;
01;494;ENRY;Rygge;;Norway;6;59-23N;010-47E;;;5;53;P
01;495;----;Stromtangen Fyr;;Norway;6;59-09N;010-50E;;;;10;
01;496;----;Holand-Loken;;Norway;6;59-49N;011-29E;;;152;154;
01;497;----;Prestebakke;;Norway;6;59-00N;011-32E;;;157;;
01;498;----;Magnor;;Norway;6;59-58N;012-13E;;;154;153;
02;012;----;Ritsem;;Sweden;6;67-44N;017-28E;;;521;523;P
02;020;----;Katterjakk;;Sweden;6;68-25N;018-10E;;;515;517;P
02;022;----;Abisko;;Sweden;6;68-21N;018-49E;;;394;394;
02;032;----;Tornetrask Lake;;Sweden;6;68-13N;019-43E;;;393;;
02;036;----;Nikkaluokta;;Sweden;6;67-51N;019-02E;;;467;468;
02;043;----;Esrange;;Sweden;6;67-56N;021-04E;;;330;341;
02;044;ESNQ;Kiruna Airport;;Sweden;6;67-49N;020-20E;;;452;;
02;045;----;Kiruna Geofysiska;;Sweden;6;67-50N;020-26E;;;408;;
02;049;ESNG;Gallivare;;Sweden;6;67-09N;020-39E;;;359;360;
02;080;----;Karesuando;;Sweden;6;68-27N;022-30E;;;327;327;P
02;096;----;Pajala;;Sweden;6;67-13N;023-24E;;;168;168;P
02;103;----;Hemavan-Skorvfjallet;;Sweden;6;65-47N;015-04E;;;800;;
02;104;----;Hemavan;;Sweden;6;65-49N;015-06E;;;473;473;
02;105;----;Abelvattnet;;Sweden;6;65-32N;014-59E;;;670;;
02;118;----;Dikanas-Skansnas;;Sweden;6;65-19N;016-02E;;;525;;
02;120;----;Kvikkjokk;;Sweden;6;66-57N;017-45E;;;337;337;P
02;124;----;Arjeplog;;Sweden;6;66-02N;017-52E;;;430;;P
02;128;ESPD;Gunnarn;;Sweden;6;64-58N;017-42E;;;280;283;P
02;141;----;Tjakaape;;Sweden;6;66-19N;019-13E;;;;582;
02;142;ESNJ;Jokkmokk;;Sweden;6;66-38N;019-39E;;;263;264;P
02;143;----;Paljamyren;;Sweden;6;66-13N;019-08E;;;;570;
02;145;----;Tellejaur;;Sweden;6;66-09N;019-38E;;;;436;
02;154;ESPE;Vidsel;;Sweden;6;65-52N;020-08E;;;180;182;
02;159;----;Fallfors;;Sweden;6;65-07N;020-46E;;;195;0;
02;160;----;Nattavaara;;Sweden;6;66-45N;021-03E;;;327;329;
02;169;----;Heden;;Sweden;6;65-52N;021-27E;;;39;36;
02;171;----;Boden;;Sweden;6;65-49N;021-42E;;;16;23;
02;176;----;Ronnskar;;Sweden;6;65-02N;021-34E;;;3;3;
02;181;----;Svartbyn;;Sweden;6;66-16N;022-51E;;;61;62;
02;183;----;Lulea Sol;;Sweden;6;65-33N;022-08E;;;17;;
02;185;----;Lulea / Kallax;;Sweden;6;65-33N;022-08E;65-33N;022-08E;17;34;
02;186;ESPA;Lulea / Kallax;;Sweden;6;65-33N;022-08E;65-33N;022-08E;17;34;P
02;188;----;Rodkallen;;Sweden;6;65-19N;022-23E;65-19N;022-23E;1;0;
02;196;----;Haparanda;;Sweden;6;65-50N;024-09E;;;5;6;P
02;206;----;Storlien-Visjovalen;;Sweden;6;63-18N;012-07E;;;642;644;P
02;209;----;Sylarna;;Sweden;6;63-03N;012-16E;;;1035;;
02;215;----;Areskutan;;Sweden;6;63-26N;013-05E;;;1280;;
02;221;----;Korsvattnet;;Sweden;6;63-50N;013-30E;;;717;0;
02;222;----;Gaddede;;Sweden;6;64-30N;014-08E;;;328;330;P
02;226;ESPC;Ostersund / Froson;;Sweden;6;63-11N;014-30E;63-11N;014-30E;376;370;P
02;229;----;Ostersund Sol;;Sweden;6;63-12N;014-30E;;;376;;
02;244;----;Junsele;;Sweden;6;63-42N;016-52E;;;210;;
02;245;----;Vilhelmina;;Sweden;6;64-35N;016-51E;;;348;349;
02;247;----;Krangede;;Sweden;6;63-09N;016-10E;;;183;184;
02;248;----;Krangede;;Sweden;6;63-10N;016-10E;;;223;;
02;259;ESNK;Kramfors Flygplats;;Sweden;6;63-03N;017-46E;;;10;19;P
02;267;ESNO;Ornskoldsvik Airport;;Sweden;6;63-24N;018-58E;;;103;;
02;269;----;Skagsudde;;Sweden;6;63-11N;019-01E;;;11;0;
02;274;----;Vindeln;;Sweden;6;64-13N;019-43E;;;204;206;P
02;283;----;Umea Robacksdalen;;Sweden;6;63-49N;020-15E;;;10;;
02;284;----;Jarnasklubb;;Sweden;6;63-26N;019-41E;;;5;;
02;286;ESNU;Umea Flygplats;;Sweden;6;63-48N;020-17E;;;7;14;P
02;288;----;Holmogadd;;Sweden;6;63-36N;020-46E;;;6;6;P
02;293;ESNS;Skelleftea Airport;;Sweden;6;64-38N;021-05E;;;49;;
02;296;----;Bjuroklubb;;Sweden;6;64-29N;021-35E;;;36;36;P
02;307;----;Idre;;Sweden;6;61-54N;012-51E;;;875;;
02;308;----;Tannas;;Sweden;6;62-27N;012-40E;;;723;724;
02;316;----;Sarna;;Sweden;6;61-42N;013-10E;;;437;438;P
02;318;----;Tandadalen;;Sweden;6;61-10N;013-01E;;;830;;
02;323;----;Klovsjo;;Sweden;6;62-32N;014-12E;;;550;551;P
02;324;----;Sveg;;Sweden;6;62-02N;014-22E;;;360;360;P
02;338;----;Edsbyn;;Sweden;6;61-22N;015-43E;;;184;185;
02;355;----;Kuggoren;;Sweden;6;61-42N;017-32E;;;8;10;
02;365;----;Sundvall-Harnlsand Flygplats;;Sweden;6;62-32N;017-27E;62-32N;017-27E;6;6;
02;366;ESNN;Sundsvall-Harnosand Flygplats;;Sweden;6;62-32N;017-27E;62-32N;017-27E;4;10;P
02;368;----;Bramon;;Sweden;6;62-13N;017-45E;;;20;;
02;376;ESCL;Soderhamn;;Sweden;6;61-16N;017-06E;;;26;36;P
02;382;----;Lungo;;Sweden;6;62-37N;018-04E;;;10;;
02;400;----;Ostmark;;Sweden;6;60-21N;012-39E;;;308;310;P
02;408;----;Blomskog;;Sweden;6;59-13N;012-05E;;;170;171;
02;410;----;Malung;;Sweden;6;60-41N;013-43E;;;308;308;P
02;415;----;Karlstad Sol;;Sweden;6;59-22N;013-28E;;;46;;
02;417;----;Naven;;Sweden;6;58-42N;013-07E;;;53;0;
02;418;ESSQ;Karlstad Flygplats;;Sweden;6;59-22N;013-28E;;;46;55;P
02;424;----;Stalldalen;;Sweden;6;59-57N;014-57E;;;210;210;P
02;432;----;Orebro;;Sweden;6;59-14N;015-03E;;;53;55;
02;433;----;Falun;;Sweden;6;60-37N;015-40E;;;157;;
02;435;ESSD;Borlange;;Sweden;6;60-26N;015-31E;;;145;0;
02;443;ESSK;Gavle / Sandviken Air Force Base;;Sweden;6;60-36N;016-57E;;;79;;
02;446;ESOW;Vasteras / Hasslo;;Sweden;6;59-35N;016-38E;;;6;31;P
02;450;----;Eggegrund;;Sweden;6;60-44N;017-34E;;;5;;
02;453;----;Gavle;;Sweden;6;60-43N;017-10E;;;16;0;
02;456;----;Films Kyrkby;;Sweden;6;60-14N;017-54E;;;39;39;P
02;458;ESCM;Uppsala;;Sweden;6;59-53N;017-36E;;;21;41;P
02;460;ESSA;Stockholm / Arlanda;;Sweden;6;59-39N;017-57E;;;38;61;P
02;464;ESSB;Stockholm / Bromma;;Sweden;6;59-21N;017-57E;59-21N;017-57E;14;14;
02;476;----;Floda;;Sweden;6;59-03N;016-24E;;;19;20;
02;483;----;Stockholm Kth;;Sweden;6;59-21N;018-04E;;;30;;
02;485;----;Stockholm / Observatoriet;;Sweden;6;59-34N;018-06E;;;44;0;
02;487;----;Stavsnas;;Sweden;6;59-18N;018-42E;;;;13;
02;488;----;Orskar;;Sweden;6;60-32N;018-23E;;;8;9;
02;489;----;Harsfjarden;;Sweden;6;59-04N;018-07E;;;4;9;P
02;496;----;Svenska Hogarna;;Sweden;6;59-27N;019-30E;;;12;12;P
02;499;----;Almagrundet;;Sweden;6;59-09N;019-08E;;;25;;
02;500;----;Nordkoster;;Sweden;6;58-54N;011-00E;;;10;11;P
02;501;----;Vaderoarna;;Sweden;6;58-35N;011-04E;;;;21;
02;505;----;Maseskar;;Sweden;6;58-06N;011-20E;;;16;0;
02;508;----;Maseskar Light House ;;Sweden;6;58-06N;011-21E;;;14;;
02;512;ESGP;Goteborg / Save;;Sweden;6;57-47N;011-53E;;;20;53;P
02;513;----;Goteborg;;Sweden;6;57-42N;012-00E;;;5;;
02;516;----;Vinga;;Sweden;6;57-38N;011-37E;;;19;;
02;517;----;Trubaduren;;Sweden;6;57-36N;011-38E;;;26;;
02;518;----;Nidingen;;Sweden;6;57-18N;011-54E;;;2;0;
02;519;----;Ringhals;;Sweden;6;57-16N;012-07E;;;;;
02;520;ESIB;Satenas;;Sweden;6;58-26N;012-42E;;;54;74;P
02;526;ESGG;Goteborg / Landvetter;;Sweden;6;57-40N;012-18E;;;169;;
02;527;----;Goteborg / Landvetter;;Sweden;6;57-40N;012-18E;57-40N;012-18E;155;155;
02;535;ESGR;Skovde Flygplats;;Sweden;6;58-27N;013-58E;;;98;105;
02;536;----;Rangedala;;Sweden;6;57-47N;013-10E;;;297;299;
02;545;----;Axstal;;Sweden;6;58-34N;014-34E;;;91;;
02;550;ESGJ;Jonkoping Flygplats;;Sweden;6;57-46N;014-05E;;;226;232;P
02;556;ESMV;Hagshult;;Sweden;6;57-18N;014-08E;;;169;172;P
02;562;ESCF;Linkoping / Malmen;;Sweden;6;58-24N;015-31E;;;93;117;P
02;564;----;Malexander;;Sweden;6;58-04N;015-14E;;;200;;
02;565;ESSF;Hultsfred Swedish Air Force Base ;;Sweden;6;57-31N;015-50E;;;112;;
02;566;----;Malilla;;Sweden;6;57-24N;015-50E;;;96;98;P
02;567;----;Landsort;;Sweden;6;58-45N;017-52E;;;18;20;
02;569;----;Stavsjo;;Sweden;6;58-44N;016-22E;;;60;;
02;571;ESSP;Norrkoping;;Sweden;6;58-35N;016-09E;;;34;0;
02;574;----;Smhi;;Sweden;6;58-35N;016-09E;;;32;;
02;575;----;Olands Norra Udde;;Sweden;6;57-22N;017-06E;;;2;4;
02;583;----;Gustaf Dalen;;Sweden;6;58-36N;017-28E;;;;21;
02;584;----;Gotska Sandon;;Sweden;6;58-24N;019-12E;;;12;12;P
02;586;----;Harstena;;Sweden;6;58-15N;017-01E;;;5;7;P
02;590;ESSV;Visby Flygplats;;Sweden;6;57-40N;018-21E;;;51;47;P
02;591;----;Visby Aerologiska Station;;Sweden;6;57-39N;018-21E;;;45;47;
02;599;----;Nasudden;;Sweden;6;57-04N;018-13E;;;;;
02;604;ESMT;Halmstad Swedish Air Force Base ;;Sweden;6;56-41N;012-50E;;;30;;
02;605;----;Hallands Vadero;;Sweden;6;56-27N;012-33E;;;10;0;
02;606;----;Kullen;;Sweden;6;56-18N;012-27E;;;72;72;P
02;607;ESDB;Angelholm;;Sweden;6;56-18N;012-51E;;;20;47;P
02;611;----;Helsingborg;;Sweden;6;56-02N;012-46E;;;43;44;
02;614;----;Oskarsgrundet;;Sweden;6;55-36N;012-51E;;;3;0;
02;616;----;Falsterbo;;Sweden;6;55-23N;012-49E;;;5;5;P
02;620;----;Torup;;Sweden;6;56-58N;013-06E;;;85;;
02;625;----;Skillinge;;Sweden;6;55-29N;014-19E;;;4;5;
02;626;----;Osby;;Sweden;6;56-22N;013-57E;;;83;85;P
02;627;----;Lund Lth;;Sweden;6;55-43N;013-13E;;;73;;
02;628;----;Hano;;Sweden;6;56-01N;014-51E;;;60;0;
02;630;ESDA;Ljungbyhed, Ljungbyhed, SWE-AFB;;Sweden;6;56-05-07N;013-12-26E;;;52;52;P
02;635;----;Malmo;;Sweden;6;55-35N;013-01E;;;13;;
02;636;ESMS;Malmo / Sturup;;Sweden;6;55-33N;013-22E;;;106;;
02;641;ESMX;Vaxjo;;Sweden;6;56-51N;014-50E;;;199;200;
02;644;----;Olands Sodra Udde;;Sweden;6;56-12N;016-24E;;;2;3;
02;651;ESMK;Kristianstad / Everod;;Sweden;6;55-55N;014-05E;;;23;;
02;664;ESDF;Ronneby;;Sweden;6;56-16N;015-17E;;;58;74;P
02;666;----;Ungskar;;Sweden;6;56-02N;015-48E;;;3;;
02;668;----;Kungsholms Fort;;Sweden;6;56-04N;015-35E;;;5;;
02;670;----;Kalmar Flygplats;;Sweden;6;56-41N;016-18E;;;6;17;
02;672;ESMQ;Kalmar;;Sweden;6;56-44N;016-18E;;;16;;
02;680;----;Hoburg;;Sweden;6;56-55N;018-09E;;;38;39;P
02;681;----;Vreta Kloster;;Sweden;6;58-29N;015-31E;;;52;;
02;685;----;Olands Sodra Grund;;Sweden;6;56-04N;016-41E;;;;30;
02;801;----;Kilpisjarvi;;Finland;6;69-03N;020-47E;;;478;476;
02;805;----;Kevo;;Finland;6;69-45N;027-02E;;;107;101;
02;807;EFIV;Ivalo;;Finland;6;68-37N;027-25E;;;147;148;P
